RANK,Country,Happiness_score1,Happiness score,Dystopia,Dystopia (1,GDP per capita,Explained by: GDP ,Family,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,
58,Greece,5.948,5948,2.119,2119,1.703,1703,0.98,0.98,0.774,0.249,0.015,0.108,,
59,South Korea,5.935,5935,1.656,1656,1.851,1851,0.886,0.886,0.841,0.414,0.111,0.176,,
60,Philippines,5.904,5904,2.283,2283,1.268,1268,0.912,0.912,0.514,0.678,0.107,0.142,,
61,Thailand,5.891,5891,1.6,1600,1.535,1535,1.096,1096,0.697,0.617,0.321,0.026,,
62,Moldova,5.857,5857,2.142,2142,1.417,1417,1.008,1008,0.597,0.561,0.102,0.028,,
63,Jamaica,5.85,5850,2.164,2164,1.296,1296,1.045,1045,0.646,0.567,0.08,0.053,,
64,Kyrgyzstan,5.828,5828,2.087,2087,1.069,1069,1.109,1109,0.638,0.693,0.208,0.025,,
65,Belarus*,5.821,5821,1.811,1811,1.562,1562,1.157,1157,0.629,0.342,0.04,0.282,,
66,Colombia,5.781,5781,1.971,1971,1.452,1452,0.929,0.929,0.72,0.545,0.087,0.077,,
67,Bosnia and Herzegovina,5.768,5768,1.869,1869,1.468,1468,1.068,1068,0.665,0.448,0.244,0.006,,
68,Mongolia,5.761,5761,1.999,1999,1.393,1393,1.197,1197,0.467,0.398,0.247,0.059,,
69,Dominican Republic,5.737,5737,1.751,1751,1.538,1538,1.003,1003,0.577,0.606,0.084,0.179,,
70,Malaysia,5.711,5711,1.471,1471,1.689,1689,0.938,0.938,0.62,0.654,0.213,0.126,,
71,Bolivia,5.6,5600,2.107,2107,1.256,1256,0.88,0.88,0.555,0.627,0.112,0.064,,
72,China,5.585,5585,1.516,1516,1.508,1508,0.958,0.958,0.705,0.656,0.099,0.142,,
73,Paraguay,5.578,5578,1.555,1555,1.409,1409,1.13,1130,0.624,0.629,0.171,0.059,,
74,Peru,5.559,5559,1.89,1890,1.397,1397,0.865,0.865,0.735,0.545,0.09,0.037,,
75,Montenegro,5.547,5547,1.619,1619,1.573,1573,1.023,1023,0.659,0.46,0.135,0.077,,
76,Ecuador,5.533,5533,1.866,1866,1.352,1352,0.879,0.879,0.708,0.565,0.08,0.083,,
77,Vietnam,5.485,5485,1.735,1735,1.252,1252,0.932,0.932,0.611,0.707,0.143,0.105,,
78,Turkmenistan*,5.474,5474,1.16,1160,1.484,1484,1.319,1319,0.516,0.649,0.314,0.032,,
79,North Cyprus*,5.467,5467,1.078,1078,1.815,1815,0.888,0.888,0.819,0.523,0.13,0.213,,
80,Russia,5.459,5459,1.494,1494,1.685,1685,1.095,1095,0.586,0.401,0.117,0.08,,
81,Hong Kong S.A.R. of China,5.425,5425,0.642,0.642,1.957,1957,0.954,0.954,0.942,0.4,0.147,0.383,,
82,Armenia,5.399,5399,1.654,1654,1.434,1434,0.82,0.82,0.668,0.558,0.054,0.21,,
83,Tajikistan,5.377,5377,1.895,1895,0.966,0.966,1.005,1005,0.518,0.572,0.118,0.304,,
84,Nepal,5.377,5377,2.224,2224,0.984,0.984,0.784,0.784,0.499,0.519,0.237,0.13,,
85,Bulgaria,5.371,5371,1.235,1235,1.625,1625,1.163,1163,0.64,0.563,0.123,0.021,,
86,Libya*,5.33,5330,1.544,1544,1.476,1476,0.943,0.943,0.606,0.477,0.106,0.179,,
87,Indonesia,5.24,5240,1.3,1300,1.382,1382,0.883,0.883,0.539,0.62,0.468,0.047,,
88,Ivory Coast,5.235,5235,2.652,2652,1.094,1094,0.442,0.442,0.322,0.451,0.149,0.124,,
89,North Macedonia,5.199,5199,1.461,1461,1.505,1505,0.863,0.863,0.637,0.488,0.215,0.031,,
90,Albania,5.199,5199,1.718,1718,1.439,1439,0.646,0.646,0.719,0.511,0.138,0.028,,
91,South Africa,5.194,5194,1.742,1742,1.425,1425,1.088,1088,0.361,0.442,0.089,0.046,,
92,Azerbaijan*,5.173,5173,1.098,1098,1.458,1458,1.093,1093,0.56,0.601,0.023,0.341,,
93,Gambia*,5.164,5164,2.531,2531,0.785,0.785,0.621,0.621,0.369,0.367,0.388,0.103,,
94,Bangladesh,5.155,5155,1.967,1967,1.06,1060,0.614,0.614,0.581,0.622,0.125,0.187,,
95,Laos,5.14,5140,1.709,1709,1.239,1239,0.654,0.654,0.479,0.679,0.197,0.184,,
96,Algeria,5.122,5122,1.744,1744,1.363,1363,0.97,0.97,0.643,0.146,0.106,0.15,,
97,Liberia*,5.122,5122,2.844,2844,0.636,0.636,0.67,0.67,0.309,0.405,0.178,0.08,,
98,Ukraine,5.084,5084,1.331,1331,1.411,1411,1.081,1081,0.583,0.473,0.188,0.017,,
99,Congo,5.075,5075,2.658,2658,0.95,0.95,0.405,0.405,0.355,0.431,0.13,0.146,,
100,Morocco,5.06,5060,2.405,2405,1.208,1208,0.268,0.268,0.565,0.492,0.02,0.102,,
101,Mozambique,5.048,5048,2.641,2641,0.578,0.578,0.66,0.66,0.191,0.593,0.185,0.2,,
102,Cameroon,5.048,5048,2.469,2469,0.968,0.968,0.672,0.672,0.317,0.397,0.152,0.074,,
103,Senegal,5.046,5046,2.419,2419,0.933,0.933,0.53,0.53,0.447,0.494,0.143,0.081,,
104,Niger*,5.003,5003,2.667,2667,0.57,0.57,0.56,0.56,0.326,0.571,0.165,0.145,,
105,Georgia,4.973,4973,1.583,1583,1.467,1467,0.612,0.612,0.595,0.508,0,0.208,,
106,Gabon,4.958,4958,1.892,1892,1.459,1459,0.738,0.738,0.396,0.343,0.032,0.099,,
107,Iraq,4.941,4941,1.894,1894,1.289,1289,0.682,0.682,0.554,0.328,0.147,0.046,,
108,Venezuela,4.925,4925,2.79,2790,0,0,0.968,0.968,0.578,0.283,0.225,0.082,,
109,Guinea,4.891,4891,2.538,2538,0.848,0.848,0.566,0.566,0.275,0.334,0.214,0.116,,
110,Iran,4.888,4888,1.427,1427,1.41,1410,0.741,0.741,0.642,0.281,0.241,0.146,,
111,Ghana,4.872,4872,1.972,1972,1.112,1112,0.595,0.595,0.409,0.5,0.23,0.056,,
112,Turkey,4.744,4744,1.059,1059,1.707,1707,0.865,0.865,0.702,0.209,0.087,0.115,,
113,Burkina Faso,4.67,4670,2.313,2313,0.779,0.779,0.565,0.565,0.32,0.382,0.186,0.126,,
114,Cambodia,4.64,4640,1.41,1410,1.019,1019,0.732,0.732,0.505,0.74,0.166,0.068,,
115,Benin,4.623,4623,2.458,2458,0.932,0.932,0.064,0.064,0.335,0.479,0.127,0.23,,
116,Comoros*,4.609,4609,2.304,2304,0.899,0.899,0.476,0.476,0.424,0.185,0.195,0.125,,
117,Uganda,4.603,4603,1.842,1842,0.777,0.777,0.875,0.875,0.418,0.402,0.222,0.066,,
118,Nigeria,4.552,4552,1.784,1784,1.079,1079,0.732,0.732,0.3,0.444,0.175,0.038,,
119,Kenya,4.543,4543,1.661,1661,1.032,1032,0.605,0.605,0.401,0.44,0.322,0.082,,
120,Tunisia,4.516,4516,1.54,1540,1.35,1350,0.596,0.596,0.656,0.316,0.029,0.029,,
121,Pakistan,4.516,4516,1.94,1940,1.049,1049,0.413,0.413,0.374,0.448,0.181,0.112,,
122,Palestinian Territories*,4.483,4483,1.368,1368,1.148,1148,0.957,0.957,0.521,0.336,0.073,0.079,,
123,Mali,4.479,4479,2.373,2373,0.792,0.792,0.483,0.483,0.311,0.35,0.128,0.042,,
124,Namibia,4.459,4459,1.414,1414,1.292,1292,0.877,0.877,0.354,0.384,0.067,0.071,,
125,Eswatini. Kingdom of*,4.396,4396,1.688,1688,1.274,1274,0.786,0.786,0.197,0.259,0.038,0.154,,
126,Myanmar,4.394,4394,0.877,0.877,1.038,1038,0.829,0.829,0.491,0.513,0.452,0.194,,
127,Sri Lanka,4.362,4362,0.595,0.595,1.415,1415,0.934,0.934,0.66,0.529,0.15,0.079,,
128,Madagascar*,4.339,4339,2.148,2148,0.67,0.67,0.645,0.645,0.378,0.202,0.143,0.154,,
129,Egypt,4.288,4288,0.856,0.856,1.388,1388,0.732,0.732,0.548,0.469,0.041,0.254,,
130,Chad*,4.251,4251,2.419,2419,0.662,0.662,0.506,0.506,0.225,0.18,0.182,0.077,,
131,Ethiopia,4.241,4241,1.375,1375,0.788,0.788,0.809,0.809,0.457,0.472,0.205,0.136,,
132,Yemen*,4.197,4197,1.561,1561,0.691,0.691,1.043,1043,0.384,0.33,0.09,0.098,,
133,Mauritania*,4.153,4153,1.207,1207,1.1,1100,0.865,0.865,0.45,0.304,0.088,0.138,,
134,Jordan,4.152,4152,0.695,0.695,1.324,1324,0.724,0.724,0.675,0.476,0.058,0.2,,
135,Togo,4.112,4112,2.061,2061,0.771,0.771,0.322,0.322,0.36,0.292,0.174,0.132,,
136,India,3.777,3777,0.795,0.795,1.167,1167,0.376,0.376,0.471,0.647,0.198,0.123,,
137,Zambia,3.76,3760,1.135,1135,0.93,0.93,0.577,0.577,0.306,0.525,0.203,0.083,,
138,Malawi,3.75,3750,1.661,1661,0.648,0.648,0.279,0.279,0.388,0.477,0.14,0.157,,
139,Tanzania,3.702,3702,0.735,0.735,0.848,0.848,0.597,0.597,0.425,0.578,0.248,0.27,,
140,Sierra Leone,3.574,3574,1.556,1556,0.686,0.686,0.416,0.416,0.273,0.387,0.202,0.055,,
141,Lesotho*,3.512,3512,1.312,1312,0.839,0.839,0.848,0.848,0,0.419,0.076,0.018,,
142,Botswana*,3.471,3471,0.187,0.187,1.503,1503,0.815,0.815,0.28,0.571,0.012,0.102,,
143,Rwanda*,3.268,3268,0.536,0.536,0.785,0.785,0.133,0.133,0.462,0.621,0.187,0.544,,
144,Zimbabwe,2.995,2995,0.548,0.548,0.947,0.947,0.69,0.69,0.27,0.329,0.106,0.105,,
145,Lebanon,2.955,2955,0.216,0.216,1.392,1392,0.498,0.498,0.631,0.103,0.082,0.034,,
146,Afghanistan,2.404,2404,1.263,1263,0.758,0.758,0,0,0.289,0,0.089,0.005,,
147,xx,,,,,,,,,,,,,,
